正向最大匹配词频排序 
排名	词语	频次
1	
	10
2	南	5
3	理工	5
4	创新	4
5	南京	3
6	大学	3
7	年	3
8	工程	3
9	建设	3
10	工	3
11	校园	3
12	理工大学	2
13	全国	2
14	学校	2
15	军工	2
16	炮兵	2
17	工程学院	2
18	华东	2
19	国家	2
20	优势	2
21	学科	2
22	高校	2
23	特色	2
24	兵器	2
25	技术	2
26	领域	2
27	实力	2
28	国	2
29	发展	2
30	成长	2
31	文	2
32	多学科	2
33	提供	2
34	环境	2
35	宜	2
36	坐落于	1
37	钟灵毓秀	1
38	古都	1
39	流淌	1
40	红色	1
41	血脉	1
42	肩负着	1
43	强国	1
44	使命	1
45	重点	1
46	始建于	1
47	前身	1
48	赫赫有名	1
49	工程系	1
50	历经	1
51	工学院	1
52	发展阶段	1
53	现名	1
54	跻身	1
55	平台	1
56	双	1
57	一流	1
58	行列	1
59	最鲜	1
60	明的	1
61	在于	1
62	深厚	1
63	国防军	1
64	底蕴	1
65	技术人才	1
66	摇篮	1
67	科学	1
68	弹	1
69	箭	1
70	制造	1
71	光电	1
72	信息	1
73	材料科学	1
74	位居	1
75	世界	1
76	前列	1
77	为我	1
78	国防现代化	1
79	尖端科技	1
80	做出	1
81	不可磨灭	1
82	贡献	1
83	重	1
84	器	1
85	研制	1
86	关键	1
87	突破	1
88	背后	1
89	闪耀着	1
90	人的	1
91	智慧	1
92	汗水	1
93	仅有	1
94	硬核	1
95	面孔	1
96	数	1
97	十	1
98	已	1
99	理	1
100	法	1
101	协调发展	1
102	综合性	1
103	研究	1
104	型	1
105	形成	1
106	为主	1
107	交融	1
108	完善	1
109	体系	1
110	特别是	1
111	机械	1
112	化工	1
113	电子	1
114	计算机	1
115	管理学	1
116	同样	1
117	享有盛誉	1
118	这种	1
119	元	1
120	生态	1
121	为学	1
122	生	1
123	广阔	1
124	知识	1
125	视野	1
126	空间	1
127	在学	1
128	术	1
129	追求	1
130	始终	1
131	坚持	1
132	进德修业	1
133	志	1
134	道	1
135	鼎新	1
136	校训	1
137	精神	1
138	崇尚	1
139	严谨	1
140	求实	1
141	学风	1
142	强调	1
143	基础研究	1
144	应用	1
145	并重	1
146	氛围	1
147	浓厚	1
148	科研成果	1
149	丰硕	1
150	大量	1
151	学术论文	1
152	发表于	1
153	国际	1
154	顶级	1
155	期刊	1
156	并成	1
157	功	1
158	转化	1
159	服务于	1
160	社会经济	1
161	主战场	1
162	方面	1
163	拥有	1
164	南京市	1
165	区内	1
166	区	1
167	园	1
168	格局	1
169	闻名遐迩	1
170	月	1
171	兰	1
172	郁郁葱葱	1
173	水杉	1
174	林	1
175	大桥	1
176	校区	1
177	赢得了	1
178	最美	1
179	美誉	1
180	莘莘学子	1
181	学	1
182	居	1
183	优美环境	1
184	承载	1
185	光荣	1
186	历史	1
187	充满	1
188	活力	1
189	高等学府	1
190	它以	1
191	卓越	1
192	科研	1
193	鲜明	1
194	办学	1
195	优美	1
196	的人	1
197	吸引	1
198	无数	1
199	优秀	1
200	学子	1
201	前来	1
202	深造	1
203	培养	1
204	拔尖	1
205	人才	1
206	服务	1
207	战略	1
208	需求	1
209	重要	1
210	基地	1

逆向最大匹配词频排序
排名	词语	频次
1	
	10
2	南	5
3	理工	5
4	南京	4
5	创新	4
6	大学	3
7	年	3
8	军工	3
9	工程	3
10	理工大学	2
11	全国	2
12	学校	2
13	炮兵	2
14	工程学院	2
15	华东	2
16	国家	2
17	优势	2
18	学科	2
19	建设	2
20	高校	2
21	明的	2
22	特色	2
23	国防	2
24	兵器	2
25	技术	2
26	领域	2
27	实力	2
28	发展	2
29	成长	2
30	工	2
31	多学科	2
32	提供	2
33	校园	2
34	环境	2
35	宜	2
36	坐落于	1
37	钟灵毓秀	1
38	古都	1
39	流	1
40	淌着	1
41	红色	1
42	血脉	1
43	肩负着	1
44	强国	1
45	使命	1
46	重点	1
47	始建于	1
48	前身	1
49	赫赫有名	1
50	工程系	1
51	历经	1
52	工学院	1
53	发展阶段	1
54	现名	1
55	跻身	1
56	平台	1
57	双	1
58	一流	1
59	行列	1
60	最鲜	1
61	在于	1
62	深	1
63	厚的	1
64	底蕴	1
65	技术人才	1
66	摇篮	1
67	科学	1
68	弹	1
69	箭	1
70	制造	1
71	光电	1
72	信息	1
73	材料科学	1
74	位居	1
75	世界	1
76	前列	1
77	我国	1
78	现代化建设	1
79	尖端科技	1
80	做	1
81	出了	1
82	不可磨灭	1
83	贡献	1
84	国	1
85	重	1
86	器	1
87	研制	1
88	关键	1
89	突破	1
90	背后	1
91	闪耀着	1
92	人的	1
93	智慧	1
94	汗水	1
95	仅有	1
96	硬核	1
97	面孔	1
98	过数	1
99	十	1
100	已	1
101	理	1
102	文	1
103	法	1
104	协调发展	1
105	综合性	1
106	研究	1
107	型	1
108	形	1
109	成了	1
110	为主	1
111	交融	1
112	完善	1
113	体系	1
114	特别	1
115	是在	1
116	机械	1
117	化工	1
118	电子	1
119	计算机	1
120	管理学	1
121	同样	1
122	享有盛誉	1
123	这种	1
124	元	1
125	生态	1
126	学生	1
127	广阔	1
128	知识	1
129	视野	1
130	空间	1
131	学术	1
